MNC;Operatorname;MCC;Country
40;Areeba;412;Afghanistan
20;Telecom Development Company Afghanistan (ROSHAN);412;Afghanistan
1;Telephone Systems International Inc;412;Afghanistan
1;AMC;276;Albania
2;Vodafone Albania;276;Albania
1;Algerie Telecom;603;Algeria
3;Nedjma;603;Algeria
2;Orascom Telecom Algerie;603;Algeria
11;Blue Sky Communications;544;American Samoa
3;Mobiland;213;Andorra
2;Unitel;631;Angola
3;APUA PCS;344;Antigua and Barbuda
30;APUA PCS;344;Antigua and Barbuda
920;Cable & Wireless;344;Antigua and Barbuda
930;Cingular Wireless;344;Antigua and Barbuda
10;Compañía de Radiocomunicaciones Moviles S.A.;722;Argentina
320;Compañía de Radiocomunicaciones Moviles S.A.;722;Argentina
330;Compañía de Radiocomunicaciones Moviles S.A.;722;Argentina
310;CTI Pcs S.A.;722;Argentina
2;Nextel Argentina S.R.L.;722;Argentina
20;Nextel Argentina srl;722;Argentina
34;Telecom Personal S.A.;722;Argentina
341;Telecom Personal S.A.;722;Argentina
7;Telefonica Comunicaciones Personales S.A.;722;Argentina
70;Telefonica Comunicaciones Personales S.A.;722;Argentina
1;ArmenTel;283;Armenia
4;Karabakh Telecom;283;Armenia
5;Vivacell;283;Armenia
20;Digicel;363;Aruba
1;Setar GSM;363;Aruba
24;Advanced Communications Technologies Pty. Ltd.;505;Australia
9;Airnet Commercial Australia Ltd.;505;Australia
4;Department of Defence;505;Australia
6;Hutchison 3G Australia Pty. Ltd.;505;Australia
12;Hutchison Telecommunications (Australia) Pty. Ltd.;505;Australia
88;Localstar Holding Pty. Ltd.;505;Australia
99;One.Tel GSM 1800 Pty. Ltd.;505;Australia
8;One.Tel GSM 1800 Pty. Ltd.;505;Australia
90;Optus Ltd.;505;Australia
2;Singtel Optus Ltd.;505;Australia
1;Telstra Corporation Ltd.;505;Australia
11;Telstra Corporation Ltd.;505;Australia
71;Telstra Corporation Ltd.;505;Australia
72;Telstra Corporation Ltd.;505;Australia
5;The Ozitel Network Pty. Ltd.;505;Australia
7;Vodafone Network Pty. Ltd.;505;Australia
3;Vodafone Network Pty. Ltd.;505;Australia
14;AAPT Ltd.;505;Australia
5;Connect Austria One;232;Austria
10;Hutchison 3G Austria;232;Austria
1;MobilKom Austria A1;232;Austria
9;Tele2 Mobil;232;Austria
8;Telefonica Austria;232;Austria
7;Telering;232;Austria
3;T-Mobile Austria GmbH;232;Austria
1;Azercell Telekom B.M.;400;Azerbaijan
2;J.V. Bakcell GSM 2000;400;Azerbaijan
39;The Bahamas Telecommunications Company Ltd;364;Bahamas
1;Batelco;426;Bahrain
2;MTC Vodafone;426;Bahrain
2;Aktel;470;Bangladesh
1;GramenPhone;470;Bangladesh
3;Mobile 2000;470;Bangladesh
600;Cable and Wireless BET Ltd.;342;Barbados
810;Cingular Wireless;342;Barbados
750;Digicel;342;Barbados
50;Digicel;342;Barbados
4;BeST;257;Belarus
1;Mobile Digital Communications;257;Belarus
2;MTS;257;Belarus
20;BASE NV/SA (Former Orange);206;Belgium
1;Belgacom Mobile Proximus;206;Belgium
10;Mobistar;206;Belgium
67;Belize Telecommunications Ltd., GSM 1900;702;Belize
68;International Telecommunications Ltd. (INTELCO);702;Belize
0;BBCOM;616;Benin
4;Bell Benin Communication BBCOM;616;Benin
1;Libercom;616;Benin
3;Spacetel Benin;616;Benin
2;Telecel;616;Benin
1;Cingular GSM 1900;350;Bermuda
10;Cingular Wireless;350;Bermuda
2;Mobility Limited - GSM 1900;350;Bermuda
11;B-Mobile;402;Bhutan
